provider_id,provider_name,specialty,npi,address,phone,avg_rating,license_state
PR2000,Dr. Noah Singh,Orthopedics,4101948739,"822 Clinic Rd, City24",+91-9351936476,4.3,DL
PR2001,Dr. Arjun Johnson,Cardiology,3812909739,"532 Health Ave, City93",,3.0,
PR2002,Dr. Vikram Johnson,Oncology,6279951345,"821 Health Ave, City96",+91-7423790732,3.5,GJ
PR2003,Dr. Priya Gonzalez,Cardiology,3082629429,"161 Clinic Rd, City78",+91-6104128742,3.1,WB
PR2004,,Cardiology,8662451920,"672 Clinic Rd, City34",+91-9514554060,4.4,DL
PR2005,Dr. Vikram Smith,Cardiology,9907290768,"740 Medical Park, City196",+91-9146659810,3.5,KA
PR2006,Dr. Priya Johnson,,4946965703,"98 Medical Park, City151",+91-9404277003,3.5,WB
PR2007,Dr. Noah Chen,Neurology,6685363026,"525 Medical Park, City6",+91-7297741454,3.2,MH
PR2008,Dr. Mary Chen,Dermatology,7769732531,"386 Clinic Rd, City110",+91-6399699943,3.1,TN
PR2009,Dr. Liam Chen,Oncology,3175802532,"392 Health Ave, City128",+91-9124835466,3.5,DL
PR2010,Dr. Arjun Johnson,Dermatology,,"230 Medical Park, City7",+91-7706599308,4.4,TN
PR2011,Dr. Carlos Nguyen,Radiology,6629026320,,+91-6409692785,3.9,MH
PR2012,Dr. Vikram Nguyen,Radiology,2073608945,"145 Clinic Rd, City158",+91-9599484943,3.7,UP
PR2013,Dr. Vikram Brown,Neurology,1998278217,"786 Clinic Rd, City65",+91-7768919156,,DL
PR2014,Dr. Vikram Patel,Cardiology,5318897881,"707 Health Ave, City194",+91-8415530388,4.5,GJ
PR2015,Dr. Ola Singh,Dermatology,6307460038,"473 Medical Park, City124",+91-8209464812,3.9,UP
PR2016,Dr. Priya Smith,Cardiology,5627846358,"131 Health Ave, City42",,,MH
PR2017,Dr. Anita Nguyen,Neurology,5174348618,,+91-6733245783,4.1,GJ
PR2018,Dr. Ola Patel,Dermatology,7090896471,,+91-7870369767,5.0,UP
PR2019,Dr. Sara Chen,Radiology,9115534388,,,,UP
PR2020,Dr. Anita Brown,Dermatology,7891351401,,+91-7418100147,4.8,
PR2021,,,,,+91-6769768868,,KA
PR2022,Dr. John Chen,Dermatology,1806055547,"711 Health Ave, City138",+91-7969644436,3.3,KA
PR2023,Dr. Noah Nguyen,,,"359 Medical Park, City144",+91-9793930101,3.1,UP
PR2024,Dr. John Gonzalez,General Practice,8427386231,"377 Medical Park, City197",+91-7732024395,4.8,
PR2025,Dr. Liam Gonzalez,Cardiology,3545365683,"106 Medical Park, City56",,2.9,GJ
PR2026,Dr. Mary Patel,Neurology,,"590 Medical Park, City155",+91-7190725988,4.9,
PR2027,Dr. Vikram Brown,Dermatology,9200079312,"215 Health Ave, City1",+91-9364526708,3.1,
PR2028,Dr. Mary Brown,Orthopedics,1615611973,"487 Health Ave, City83",+91-6334094448,4.7,KA
PR2029,,Neurology,7183417249,"681 Clinic Rd, City84",+91-7299478089,3.8,KA
PR2030,Dr. Anita Johnson,Oncology,7332834814,"320 Medical Park, City82",+91-8279276904,2.7,GJ
PR2031,,Orthopedics,,"729 Health Ave, City112",+91-8407268465,3.6,UP
PR2032,Dr. Arjun Chen,Dermatology,9159416252,"668 Clinic Rd, City46",+91-6108643570,4.7,
PR2033,Dr. Ola Singh,,2821400851,"632 Medical Park, City49",+91-7642642085,3.4,UP
PR2034,Dr. John Gonzalez,Oncology,1837040208,"601 Clinic Rd, City85",+91-6404192842,4.8,DL
PR2035,Dr. Liam Kumar,Radiology,2172645601,"663 Clinic Rd, City165",+91-8056150620,3.5,UP
PR2036,Dr. Priya Chen,General Practice,3685515992,"995 Medical Park, City8",+91-9707352704,4.3,TN
PR2037,Dr. Noah Nguyen,Oncology,6041307910,"768 Medical Park, City193",+91-8343279772,4.5,KA
PR2038,Dr. Carlos Kumar,Radiology,4161938464,"892 Health Ave, City22",+91-7802050514,,KA
PR2039,Dr. John Nguyen,Dermatology,4051964572,"322 Health Ave, City140",+91-7191759631,,
PR2040,Dr. Asha Brown,Dermatology,5366583537,"858 Medical Park, City82",+91-9855748782,4.3,
PR2041,Dr. Priya Singh,Radiology,8148953034,,+91-6264069218,2.7,WB
PR2042,Dr. Arjun Johnson,Orthopedics,8425814077,"86 Health Ave, City114",+91-6191162242,3.2,MH
PR2043,Dr. Priya Johnson,Oncology,5308815905,"281 Medical Park, City90",+91-6505580254,3.4,GJ
PR2044,Dr. Vikram Smith,,9290458773,"91 Health Ave, City24",+91-6783835681,4.3,MH
PR2045,Dr. Carlos Brown,,5147931679,"786 Health Ave, City3",,4.1,
PR2046,,General Practice,5865058976,"55 Clinic Rd, City181",+91-7232984424,2.9,MH
PR2047,Dr. Noah Singh,Oncology,6103474676,"905 Health Ave, City46",+91-7266724774,3.1,TN
PR2048,Dr. Wei Smith,Oncology,6856674089,"791 Medical Park, City134",+91-7931331439,,UP
PR2049,Dr. Vikram Patel,Cardiology,7808480880,"160 Medical Park, City146",+91-6904789816,5.0,TN
PR2050,,Orthopedics,2155131949,"526 Health Ave, City67",+91-6937397755,3.7,KA
PR2051,Dr. Sara Smith,Radiology,6095658763,"144 Clinic Rd, City151",+91-7387235610,3.4,TN
PR2052,Dr. Asha Brown,Cardiology,4869868882,"163 Clinic Rd, City122",+91-7437579139,3.3,KA
